AirType,BTU
Wall Type,5000
Wall Type,9000
Wall Type,12000
Wall Type,15000
Wall Type,18000
Wall Type,20000
Wall Type,21000
Wall Type,22000
Wall Type,24000
Ceiling Suspended Type,9000
Ceiling Suspended Type,12000
Ceiling Suspended Type,15000
Ceiling Suspended Type,18000
Ceiling Suspended Type,21000
Ceiling Suspended Type,24000
Ceiling Suspended Type,30000
Ceiling Suspended Type,36000
Ceiling Suspended Type,42000
Cassette Type,9600
Cassette Type,12000
Cassette Type,18000
Cassette Type,24000
Cassette Type,30000
Cassette Type,36000
Cassette Type,48000
