Lat,Month,Direction,CLTD
8,Dec,N,-2.2
8,Jan/Nov,NE/NW,-3.3
8,Feb/Oct,E/W,-1.6
8,Mar/Sept,SE/SW,2.2
8,Apr/Aug,S,6.6
8,May/Jul,HOR,-2.7
8,Jun,N,-1.6
8,Dec,NE/NW,-3.3
8,Jan/Nov,E/W,-1.1
8,Feb/Oct,SE/SW,1.6
8,Mar/Sept,S,5.5
8,Apr/Aug,HOR,-2.2
8,May/Jul,N,-1.6
8,Jun,NE/NW,-1.6
8,Dec,E/W,-0.5
8,Jan/Nov,SE/SW,0.5
8,Feb/Oct,S,2.2
8,Mar/Sept,HOR,-0.5
8,Apr/Aug,N,-1.6
8,May/Jul,NE/NW,-0.5
8,Jun,E/W,-0.5
8,Dec,SE/SW,-1.1
8,Jan/Nov,S,-2.2
8,Feb/Oct,HOR,0
8,Mar/Sept,N,1.1
8,Apr/Aug,NE/NW,1.1
8,May/Jul,E/W,-0.5
8,Jun,SE/SW,-2.7
8,Dec,S,-3.8
8,Jan/Nov,HOR,-0.5
8,Feb/Oct,N,3.8
8,Mar/Sept,NE/NW,2.2
8,Apr/Aug,E/W,-1.1
8,May/Jul,SE/SW,-3.8
8,Jun,S,-3.8
8,Dec,HOR,-1.1
8,Jan/Nov,N,5
8,Feb/Oct,NE/NW,2.2
8,Mar/Sept,E/W,-1.1
8,Apr/Aug,SE/SW,-4.4
8,May/Jul,S,-3.8
8,Jun,HOR,-1.1
14,Dec,N,-2.2
14,Jan/Nov,NE/NW,-4.1
14,Feb/Oct,E/W,-2.1
14,Mar/Sept,SE/SW,2.2
14,Apr/Aug,S,7.1
14,May/Jul,HOR,-4.4
14,Jun,N,-2.1
14,Dec,NE/NW,-3.7
14,Jan/Nov,E/W,-1.9
14,Feb/Oct,SE/SW,2.1
14,Mar/Sept,S,6.3
14,Apr/Aug,HOR,-3.4
14,May/Jul,N,-1.6
14,Jun,NE/NW,-2.4
14,Dec,E/W,-1
14,Jan/Nov,SE/SW,1
14,Feb/Oct,S,3.4
14,Mar/Sept,HOR,-1.8
14,Apr/Aug,N,-1.6
14,May/Jul,NE/NW,-1
14,Jun,E/W,-0.5
14,Dec,SE/SW,-0.3
14,Jan/Nov,S,-0.6
14,Feb/Oct,HOR,-0.4
14,Mar/Sept,N,-0.1
14,Apr/Aug,NE/NW,-0.1
14,May/Jul,E/W,-0.5
14,Jun,SE/SW,-1.9
14,Dec,S,-3.4
14,Jan/Nov,HOR,-0.1
14,Feb/Oct,N,2.6
14,Mar/Sept,NE/NW,1.8
14,Apr/Aug,E/W,-0.7
14,May/Jul,SE/SW,-3
14,Jun,S,-3.8
14,Dec,HOR,-0.3
14,Jan/Nov,N,3.7
14,Feb/Oct,NE/NW,2.2
14,Mar/Sept,E/W,-0.7
14,Apr/Aug,SE/SW,-3.6
14,May/Jul,S,-3.8
14,Jun,HOR,-0.3
16,Dec,N,-2.2
16,Jan/Nov,NE/NW,-4.4
16,Feb/Oct,E/W,-2.2
16,Mar/Sept,SE/SW,2.2
16,Apr/Aug,S,7.2
16,May/Jul,HOR,-5
16,Jun,N,-2.2
16,Dec,NE/NW,-3.8
16,Jan/Nov,E/W,-2.2
16,Feb/Oct,SE/SW,2.2
16,Mar/Sept,S,6.6
16,Apr/Aug,HOR,-3.8
16,May/Jul,N,-1.6
16,Jun,NE/NW,-2.7
16,Dec,E/W,-1.1
16,Jan/Nov,SE/SW,1.1
16,Feb/Oct,S,3.8
16,Mar/Sept,HOR,-2.2
16,Apr/Aug,N,-1.6
16,May/Jul,NE/NW,-1.1
16,Jun,E/W,-0.5
16,Dec,SE/SW,0
16,Jan/Nov,S,0
16,Feb/Oct,HOR,-0.5
16,Mar/Sept,N,-0.5
16,Apr/Aug,NE/NW,-0.5
16,May/Jul,E/W,-0.5
16,Jun,SE/SW,-1.6
16,Dec,S,-3.3
16,Jan/Nov,HOR,0
16,Feb/Oct,N,2.2
16,Mar/Sept,NE/NW,1.6
16,Apr/Aug,E/W,-0.5
16,May/Jul,SE/SW,-2.7
16,Jun,S,-3.8
16,Dec,HOR,0
16,Jan/Nov,N,3.3
16,Feb/Oct,NE/NW,2.2
16,Mar/Sept,E/W,-0.5
16,Apr/Aug,SE/SW,-3.3
16,May/Jul,S,-3.8
16,Jun,HOR,0
19,Dec,N,-2.4
19,Jan/Nov,NE/NW,-4.6
19,Feb/Oct,E/W,-2.8
19,Mar/Sept,SE/SW,2
19,Apr/Aug,S,7.2
19,May/Jul,HOR,-5
19,Jun,N,-2.2
19,Dec,NE/NW,-4
19,Jan/Nov,E/W,-2.6
19,Feb/Oct,SE/SW,2
19,Mar/Sept,S,6.8
19,Apr/Aug,HOR,-3.8
19,May/Jul,N,-1.8
19,Jun,NE/NW,-2.9
19,Dec,E/W,-1.3
19,Jan/Nov,SE/SW,1.3
19,Feb/Oct,S,3.8
19,Mar/Sept,HOR,-2.2
19,Apr/Aug,N,-1.6
19,May/Jul,NE/NW,-1.3
19,Jun,E/W,-0.5
19,Dec,SE/SW,0.2
19,Jan/Nov,S,0
19,Feb/Oct,HOR,-0.5
19,Mar/Sept,N,-0.7
19,Apr/Aug,NE/NW,-0.3
19,May/Jul,E/W,-0.5
19,Jun,SE/SW,-1.2
19,Dec,S,-3.3
19,Jan/Nov,HOR,0
19,Feb/Oct,N,1.6
19,Mar/Sept,NE/NW,1.4
19,Apr/Aug,E/W,-0.3
19,May/Jul,SE/SW,-2.3
19,Jun,S,-3.8
19,Dec,HOR,0
19,Jan/Nov,N,2.7
19,Feb/Oct,NE/NW,2
19,Mar/Sept,E/W,-0.3
19,Apr/Aug,SE/SW,-2.9
19,May/Jul,S,-3.8
19,Jun,HOR,0
24,Dec,N,-2.7
24,Jan/Nov,NE/NW,-5
24,Feb/Oct,E/W,-3.8
24,Mar/Sept,SE/SW,1.6
24,Apr/Aug,S,7.2
24,May/Jul,HOR,-7.2
24,Jun,N,-2.2
24,Dec,NE/NW,-4.4
24,Jan/Nov,E/W,-3.3
24,Feb/Oct,SE/SW,1.6
24,Mar/Sept,S,7.2
24,Apr/Aug,HOR,-6.1
24,May/Jul,N,-2.2
24,Jun,NE/NW,-3.3
24,Dec,E/W,-1.6
24,Jan/Nov,SE/SW,1.6
24,Feb/Oct,S,5.5
24,Mar/Sept,HOR,-3.8
24,Apr/Aug,N,-1.6
24,May/Jul,NE/NW,-1.6
24,Jun,E/W,-0.5
24,Dec,SE/SW,0.5
24,Jan/Nov,S,2.2
24,Feb/Oct,HOR,-1.6
24,Mar/Sept,N,-1.1
24,Apr/Aug,NE/NW,0
24,May/Jul,E/W,-0.5
24,Jun,SE/SW,-0.5
24,Dec,S,-1.6
24,Jan/Nov,HOR,0
24,Feb/Oct,N,0.5
24,Mar/Sept,NE/NW,1.1
24,Apr/Aug,E/W,0
24,May/Jul,SE/SW,-1.6
24,Jun,S,-3.3
24,Dec,HOR,0.5
24,Jan/Nov,N,1.6
24,Feb/Oct,NE/NW,1.6
24,Mar/Sept,E/W,0
24,Apr/Aug,SE/SW,-2.2
24,May/Jul,S,-3.3
24,Jun,HOR,0.5
