BuildingType,SubType,EquipmentName,PowerW,CLF
Home,Bedroom,TV,130,0.5
Home,Bedroom,DesktopComputer,150,1
Home,Bedroom,Refrigerator,100,1
Home,Bedroom,FloorFan,60,0.5
Home,LivingRoom,LargeTV,130,0.8
Home,LivingRoom,AudioSystem,10,0.3
Home,LivingRoom,FloorFan,60,0.5
Home,LivingRoom,Refrigerator,100,1
Home,DiningRoom,Microwave,1500,0.25
Home,DiningRoom,RiceCooker,700,0.3
Home,DiningRoom,Refrigerator,100,1
Commercial,Office,DesktopComputer,150,1
Commercial,Office,Printer,200,0.5
Commercial,Shop,DesktopComputer,150,1
Commercial,Shop,POS,35,1
Commercial,Shop,RefrigeratorFreezer,200,1
Commercial,Restaurant,ElectricOvenStove,3000,0.3
Commercial,Restaurant,Microwave,1500,0.25
Commercial,Restaurant,RefrigeratorFreezer,1000,1
Commercial,Restaurant,CounterLight,400,0.5
PublicEducation,General,Projector,300,0.4
PublicEducation,General,TVMonitor,30,0.7
PublicEducation,General,DesktopComputer,90,1
PublicEducation,General,Laptop,50,0.7
PublicEducation,General,Speaker,30,0.3
PublicEducation,General,Copier,600,0.5
PublicEducation,General,Printer,400,0.5
