Direction,Hour,CLF
N,1,0.08
N,2,0.07
N,3,0.06
N,4,0.06
N,5,0.07
N,6,0.73
N,7,0.66
N,8,0.65
N,9,0.73
N,10,0.8
N,11,0.86
N,12,0.89
N,13,0.89
N,14,0.86
N,15,0.82
N,16,0.75
N,17,0.78
N,18,0.91
N,19,0.24
N,20,0.18
N,21,0.15
N,22,0.13
N,23,0.11
N,24,0.1
NE,1,0.03
NE,2,0.02
NE,3,0.02
NE,4,0.02
NE,5,0.02
NE,6,0.56
NE,7,0.76
NE,8,0.74
NE,9,0.58
NE,10,0.37
NE,11,0.29
NE,12,0.27
NE,13,0.26
NE,14,0.24
NE,15,0.22
NE,16,0.2
NE,17,0.16
NE,18,0.12
NE,19,0.06
NE,20,0.05
NE,21,0.04
NE,22,0.04
NE,23,0.03
NE,24,0.03
E,1,0.03
E,2,0.02
E,3,0.02
E,4,0.02
E,5,0.02
E,6,0.47
E,7,0.72
E,8,0.8
E,9,0.76
E,10,0.62
E,11,0.41
E,12,0.27
E,13,0.24
E,14,0.22
E,15,0.2
E,16,0.17
E,17,0.14
E,18,0.11
E,19,0.06
E,20,0.05
E,21,0.05
E,22,0.04
E,23,0.03
E,24,0.03
SE,1,0.03
SE,2,0.03
SE,3,0.02
SE,4,0.02
SE,5,0.02
SE,6,0.3
SE,7,0.57
SE,8,0.74
SE,9,0.81
SE,10,0.79
SE,11,0.68
SE,12,0.49
SE,13,0.33
SE,14,0.28
SE,15,0.25
SE,16,0.22
SE,17,0.18
SE,18,0.13
SE,19,0.08
SE,20,0.07
SE,21,0.06
SE,22,0.05
SE,23,0.04
SE,24,0.04
S,1,0.04
S,2,0.04
S,3,0.03
S,4,0.03
S,5,0.03
S,6,0.09
S,7,0.16
S,8,0.23
S,9,0.38
S,10,0.58
S,11,0.75
S,12,0.83
S,13,0.8
S,14,0.68
S,15,0.5
S,16,0.35
S,17,0.27
S,18,0.19
S,19,0.11
S,20,0.09
S,21,0.08
S,22,0.07
S,23,0.06
S,24,0.05
SW,1,0.05
SW,2,0.05
SW,3,0.04
SW,4,0.04
SW,5,0.03
SW,6,0.07
SW,7,0.11
SW,8,0.14
SW,9,0.16
SW,10,0.19
SW,11,0.22
SW,12,0.38
SW,13,0.59
SW,14,0.75
SW,15,0.83
SW,16,0.81
SW,17,0.69
SW,18,0.45
SW,19,0.16
SW,20,0.12
SW,21,0.1
SW,22,0.09
SW,23,0.07
SW,24,0.06
W,1,0.05
W,2,0.05
W,3,0.04
W,4,0.04
W,5,0.03
W,6,0.06
W,7,0.09
W,8,0.11
W,9,0.13
W,10,0.15
W,11,0.16
W,12,0.17
W,13,0.31
W,14,0.53
W,15,0.72
W,16,0.82
W,17,0.81
W,18,0.61
W,19,0.16
W,20,0.12
W,21,0.1
W,22,0.08
W,23,0.07
W,24,0.06
NW,1,0.05
NW,2,0.04
NW,3,0.04
NW,4,0.03
NW,5,0.03
NW,6,0.07
NW,7,0.11
NW,8,0.14
NW,9,0.17
NW,10,0.19
NW,11,0.2
NW,12,0.21
NW,13,0.22
NW,14,0.3
NW,15,0.52
NW,16,0.73
NW,17,0.82
NW,18,0.69
NW,19,0.16
NW,20,0.12
NW,21,0.1
NW,22,0.08
NW,23,0.07
NW,24,0.06
