Month,Direction,SHGF
Jan,N,97.79
Feb,N,107.26
Mar,N,18.93
Apr,N,126.18
May,N,135.65
Jun,N,141.96
Jul,N,141.96
Aug,N,132.49
Sep,N,116.72
Oct,N,107.26
Nov,N,100.95
Dec,N,94.64
Jan,NE,97.79
Feb,NE,107.26
Mar,NE,116.72
Apr,NE,129.34
May,NE,141.96
Jun,NE,145.11
Jul,NE,145.11
Aug,NE,135.65
Sep,NE,119.87
Oct,NE,107.26
Nov,NE,100.95
Dec,NE,94.64
Jan,NW,97.79
Feb,NW,107.26
Mar,NW,116.72
Apr,NW,129.34
May,NW,141.96
Jun,NW,145.11
Jul,NW,145.11
Aug,NW,135.65
Sep,NW,119.87
Oct,NW,107.26
Nov,NW,100.95
Dec,NW,94.64
Jan,E,107.26
Feb,E,113.57
Mar,E,123.03
Apr,E,132.49
May,E,141.96
Jun,E,148.27
Jul,E,148.27
Aug,E,145.11
Sep,E,129.34
Oct,E,119.87
Nov,E,107.26
Dec,E,100.95
Jan,W,107.26
Feb,W,113.57
Mar,W,123.03
Apr,W,132.49
May,W,141.96
Jun,W,148.27
Jul,W,148.27
Aug,W,145.11
Sep,W,129.34
Oct,W,119.87
Nov,W,107.26
Dec,W,100.95
Jan,SE,116.72
Feb,SE,119.87
Mar,SE,126.18
Apr,SE,129.34
May,SE,129.34
Jun,SE,132.49
Jul,SE,132.49
Aug,SE,135.65
Sep,SE,132.49
Oct,SE,126.18
Nov,SE,119.87
Dec,SE,113.57
Jan,SW,116.72
Feb,SW,119.87
Mar,SW,126.18
Apr,SW,129.34
May,SW,129.34
Jun,SW,132.49
Jul,SW,132.49
Aug,SW,135.65
Sep,SW,132.49
Oct,SW,126.18
Nov,SW,119.87
Dec,SW,113.57
Jan,S,119.87
Feb,S,123.03
Mar,S,123.03
Apr,S,126.18
May,S,126.18
Jun,S,129.34
Jul,S,129.34
Aug,S,132.49
Sep,S,129.34
Oct,S,126.18
Nov,S,123.03
Dec,S,116.72
Jan,HOR,50.47
Feb,HOR,50.47
Mar,HOR,59.94
Apr,HOR,75.71
May,HOR,88.33
Jun,HOR,97.79
Jul,HOR,97.79
Aug,HOR,88.33
Sep,HOR,72.56
Oct,HOR,59.94
Nov,HOR,53.63
Dec,HOR,47.32
